data,id,mois,jour,annee,numero_de_message,temperature_partie_entiere,temperature_partie_decimale,humidite,pluie_en_augets,direction_du_vecteur_moyen_de_vent,force_moyenne_du_vecteur_de_vent,pression_a_decoder,direction_du_vecteur_de_vent_max,force_du_vecteur_de_vent_max,pluie_la_plus_intense_durant_1_min,type_station,pluie_intensite_max,heure,annee_reelle,minute,pression,temperature_decodee,direction_du_vecteur_vent_moyen,type_de_station,pluie,direction_du_vecteur_de_vent_max_en_degres,force_moyenne_du_vecteur_vent,force_rafale_max,jour_mois,dd_mm_yy_utc,hh_mm_utc,dd_mm_yy_hh_mm,temperature_en_degre_c,false_message,dd_mm_yy_hh_mm_utc,heure_paris_dd_mm_yy_hh_mm,heure_de_paris,heure_utc
ab9c9af2f2f2f2f2f2f2f2f3,85,12,28,9,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,28/12,28/12/2028,21:30,2028-12-28T21:30:00,25.12,267125272015603,2028-12-28T21:30:00+00:00,2028-12-28T21:30:00+01:00,2028-12-28T21:30:00+00:00,2028-12-28T21:30:00+00:00
ab04b0f2f2f2f2f2f2f2f2f3,85,8,4,11,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/8,4/8/2030,1:30,2030-08-04T01:30:00,25.12,267125272015603,2030-08-04T01:30:00+00:00,2030-08-04T01:30:00+02:00,2030-08-04T01:30:00+00:00,2030-08-04T01:30:00+00:00
aa4498f2f2f2f2f2f2f2f2f3,85,2,4,9,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/2,4/2/2028,17:30,2028-02-04T17:30:00,25.12,267125272015603,2028-02-04T17:30:00+00:00,2028-02-04T17:30:00+01:00,2028-02-04T17:30:00+00:00,2028-02-04T17:30:00+00:00
aa44a8f2f2f2f2f2f2f2f2f3,85,2,4,10,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/2,4/2/2029,17:30,2029-02-04T17:30:00,25.12,267125272015603,2029-02-04T17:30:00+00:00,2029-02-04T17:30:00+01:00,2029-02-04T17:30:00+00:00,2029-02-04T17:30:00+00:00
a91892f2f2f2f2f2f2f2f2f3,84,8,24,9,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,24/8,24/8/2028,5:30,2028-08-24T05:30:00,25.12,267125272015603,2028-08-24T05:30:00+00:00,2028-08-24T05:30:00+02:00,2028-08-24T05:30:00+00:00,2028-08-24T05:30:00+00:00
aa4890f2f2f2f2f2f2f2f2f3,85,2,8,9,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/2,8/2/2028,1:30,2028-02-08T01:30:00,25.12,267125272015603,2028-02-08T01:30:00+00:00,2028-02-08T01:30:00+01:00,2028-02-08T01:30:00+00:00,2028-02-08T01:30:00+00:00
a908aaf2f2f2f2f2f2f2f2f3,84,8,8,10,87,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,21,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/8,8/8/2029,21:30,2029-08-08T21:30:00,25.12,267125272015603,2029-08-08T21:30:00+00:00,2029-08-08T21:30:00+02:00,2029-08-08T21:30:00+00:00,2029-08-08T21:30:00+00:00
aa6494f2f2f2f2f2f2f2f2f3,85,3,4,9,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,4/3,4/3/2028,9:30,2028-03-04T09:30:00,25.12,267125272015603,2028-03-04T09:30:00+00:00,2028-03-04T09:30:00+01:00,2028-03-04T09:30:00+00:00,2028-03-04T09:30:00+00:00
a92ca4f2f2f2f2f2f2f2f2f3,84,9,12,10,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/9,12/9/2029,9:30,2029-09-12T09:30:00,25.12,267125272015603,2029-09-12T09:30:00+00:00,2029-09-12T09:30:00+02:00,2029-09-12T09:30:00+00:00,2029-09-12T09:30:00+00:00
aae8a2f2f2f2f2f2f2f2f2f3,85,7,8,10,23,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,5,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/7,8/7/2029,5:30,2029-07-08T05:30:00,25.12,267125272015603,2029-07-08T05:30:00+00:00,2029-07-08T05:30:00+02:00,2029-07-08T05:30:00+00:00,2029-07-08T05:30:00+00:00
a8a8b8f2f2f2f2f2f2f2f2f3,84,5,8,11,71,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,17,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,8/5,8/5/2030,17:30,2030-05-08T17:30:00,25.12,267125272015603,2030-05-08T17:30:00+00:00,2030-05-08T17:30:00+02:00,2030-05-08T17:30:00+00:00,2030-05-08T17:30:00+00:00
ab18a0f2f2f2f2f2f2f2f2f3,85,8,24,10,7,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,1,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,24/8,24/8/2029,1:30,2029-08-24T01:30:00,25.12,267125272015603,2029-08-24T01:30:00+00:00,2029-08-24T01:30:00+02:00,2029-08-24T01:30:00+00:00,2029-08-24T01:30:00+00:00
ab18a6f2f2f2f2f2f2f2f2f3,85,8,24,10,55,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,13,2029,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,24/8,24/8/2029,13:30,2029-08-24T13:30:00,25.12,267125272015603,2029-08-24T13:30:00+00:00,2029-08-24T13:30:00+02:00,2029-08-24T13:30:00+00:00,2029-08-24T13:30:00+00:00
ab4cb6f2f2f2f2f2f2f2f2f3,85,10,12,11,55,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,13,2030,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/10,12/10/2030,13:30,2030-10-12T13:30:00,25.12,267125272015603,2030-10-12T13:30:00+00:00,2030-10-12T13:30:00+02:00,2030-10-12T13:30:00+00:00,2030-10-12T13:30:00+00:00
a8cc94f2f2f2f2f2f2f2f2f3,84,6,12,9,39,75,12,94.0,47,47,23,151,9.0,60,11,51,2.2,9,2028,30,105100.0,25,94.0,sous station,9.4,202.5,23.0,60.0,12/6,12/6/2028,9:30,2028-06-12T09:30:00,25.12,267125272015603,2028-06-12T09:30:00+00:00,2028-06-12T09:30:00+02:00,2028-06-12T09:30:00+00:00,2028-06-12T09:30:00+00:00
